#,Name,length,height,wingspan
280,Keon JohnsonLAC | SG,3.75,"6'3.5""","6'7.25"""
281,Kai JonesCHA | C,3.75,"6'10""","7'1.75"""
282,Aleksej PokusevskiOKC | PF,3.5,"6'11.5""","7'3"""
283,Ben SimmonsPHI | PG,3.5,"6'9""","7'0.5"""
284,Cory JosephDET | PG,3.5,"6'2""","6'5.5"""
285,DeMar DeRozanCHI | SG,3.5,"6'5.5""","6'9"""
286,Furkan KorkmazPHI | SG,3.5,"6'6.5""","6'10"""
287,Ignas BrazdeikisORL | SF,3.5,"6'5.75""","6'9.25"""
288,Isaac OkoroCLE | SF,3.5,"6'5""","6'8.5"""
289,Ja MorantMEM | PG,3.5,"6'2.5""","6'6"""
290,Jahmi'us RamseySAC | PG,3.5,"6'2.5""","6'6"""
291,Jayson TatumBOS | SF,3.5,"6'7.5""","6'11"""
292,Kentavious Caldwell-PopeWAS | SG,3.5,"6'4.5""","6'8"""
293,Kevin LoveCLE | C,3.5,"6'7.75""","6'11.25"""
294,Kristaps PorzingisDAL | PF,3.5,"7'2.5""","7'6"""
295,Malik BeasleyMIN | SG,3.5,"6'3.5""","6'7"""
296,Moses BrownDAL | C,3.5,"7'1.25""","7'4.75"""
297,Nikola JokicDEN | C,3.5,"6'11.5""","7'3"""
298,Paul GeorgeLAC | SF,3.5,"6'7.75""","6'11.25"""
299,Sekou DoumbouyaBKN | PF,3.5,"6'7.5""","6'11"""
300,Solomon HillATL | SF,3.5,"6'5.5""","6'9"""
301,Jalen GreenHOU | SG,3.5,"6'4""","6'7.5"""
302,Cam ThomasBKN | SG,3.5,"6'3""","6'6.5"""
303,Luka GarzaDET | C,3.5,"6'10""","7'1.5"""
304,Delon WrightATL | PG,3.25,"6'4.25""","6'7.5"""
305,Georges NiangPHI | PF,3.25,"6'6.75""","6'10"""
306,Jalen McDanielsCHA | PF,3.25,"6'9""","7'0.25"""
307,John KoncharMEM | SG,3.25,"6'4.75""","6'8"""
308,Jordan PooleGSW | SG,3.25,"6'3.5""","6'6.75"""
309,Killian HayesDET | PG,3.25,"6'4.75""","6'8"""
310,Klay ThompsonGSW | SG,3.25,"6'5.75""","6'9"""
311,Lamar StevensCLE | PF,3.25,"6'5.75""","6'9"""
312,R.J. HamptonORL | SG,3.25,"6'3.75""","6'7"""
313,T.J. WarrenIND | SF,3.25,"6'7""","6'10.25"""
314,Udonis HaslemMIA | C,3.25,"6'7.75""","6'11"""
315,Vlatko CancarDEN | PF,3.25,"6'7.75""","6'11"""
316,Bryn ForbesSAS | SG,3,"6'2""","6'5"""
317,Cameron JohnsonPHX | PF,3,"6'7""","6'10"""
318,Chris PaulPHX | PG,3,"6'1""","6'4"""
319,Danilo GallinariATL | PF,3,"6'10""","7'1"""
320,Doug McDermottSAS | SF,3,"6'6.25""","6'9.25"""
321,Dwight PowellDAL | C,3,"6'9.5""","7'0.5"""
322,Jalen BrunsonDAL | PG,3,"6'1""","6'4"""
323,Jamal MurrayDEN | PG,3,"6'3.5""","6'6.5"""
324,John CollinsATL | PF,3,"6'8.25""","6'11.25"""
325,Juancho HernangomezBOS | PF,3,"6'9""","7'0"""
326,Marcus Morris Sr.LAC | PF,3,"6'7""","6'10"""
327,Markieff MorrisMIA | PF,3,"6'7.75""","6'10.75"""
328,Payton PritchardBOS | PG,3,"6'1""","6'4"""
329,Reggie BullockDAL | SF,3,"6'5.75""","6'8.75"""
330,Seth CurryPHI | SG,3,"6'1""","6'4"""
331,Skylar MaysATL | SG,3,"6'3""","6'6"""
332,Terance MannLAC | SF,3,"6'4.75""","6'7.75"""
333,Tre JonesSAS | PG,3,"6'1""","6'4"""
334,Tyrese HaliburtonSAC | SG,3,"6'4.75""","6'7.75"""
